Date;HStart;HEnd;Summary;Location;Groupe;Intervenant
30/09/2024;08:00:00;10:00:00;Math-Signal1 ;A5bis;1ATDB;COURSIMAULT DAVID 
14/11/2024;12:30:00;14:30:00;Anglais1 ;B2;1ATP4; BEIGNON D AGOSTINO LAURE 
04/12/2024;09:00:00;11:00:00;Archi-Sys1 ;C5;1ATP1; PERRIOT ROMAIN 
22/11/2024;08:00:00;11:00:00;Init-Rés1 Exam ;C1bis;1ATP3; HERNANDEZ SEBASTIEN 
21/11/2024;12:30:00;14:30:00;SAE1.05;B3,A5;1ATDB;  
07/11/2024;12:30:00;14:30:00;Syst1 ;C5;1ATP1; JACQUET FREDERIQUE 
27/11/2024;09:00:00;11:00:00;Archi-Sys1 ;B6;1ATP1; PERRIOT ROMAIN 
11/10/2024;06:30:00;07:30:00;Telecom1 ;Salle examen MPC003;1A; CAPALLERA FLORENCE 
14/10/2024;13:30:00;15:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
27/11/2024;14:30:00;16:30:00;Gest_projet ;B7;1ATDB; MAYET KARINE 
28/11/2024;07:30:00;08:30:00;Elec1 ;Salle examen MPC003;1A; CAPALLERA FLORENCE 
05/11/2024;14:30:00;16:30:00;Prog1 ;C5;1ATP2; ZAYENE MARIEM 
13/11/2024;12:30:00;14:30:00;Prog1 ;B8;1ATP3; ZAYENE MARIEM 
26/11/2024;09:00:00;11:00:00;Com1 ;B7;1ATP4; GIRAUD NADINE 
05/12/2024;12:30:00;14:30:00;SAE1.04;B8,C1bis;1ATDA;  
17/09/2024;13:30:00;15:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
23/09/2024;08:00:00;09:00:00;Init-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
17/09/2024;11:30:00;13:30:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
04/12/2024;08:00:00;11:00:00;Telecom1 ;C1;1ATP3; CAPALLERA FLORENCE 
04/11/2024;07:30:00;08:30:00;Archi-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
17/09/2024;11:30:00;13:30:00;Prog1 ;B6;1ATP3; ZAYENE MARIEM 
25/09/2024;08:00:00;10:00:00;Telecom1 ;A5bis;1ATDB; CAPALLERA FLORENCE 
03/10/2024;11:30:00;13:30:00;Syst1 ;C5;1ATP4; JACQUET FREDERIQUE 
29/11/2024;12:30:00;15:30:00;Archi-Rés1 ;B8;1ATP3; FREITAS ANTONIO 
12/12/2024;14:30:00;16:30:00;Anglais1 ;Labo multimédia A109;1ATP3; GORDON NATHALIE 
05/11/2024;07:00:00;09:00:00;SAE1.05;B3;1ATDB; JACQUET FREDERIQUE 
01/10/2024;11:30:00;13:30:00;SAE1.02;C7;1ATP3; HERNANDEZ SEBASTIEN 
17/12/2024;14:30:00;16:30:00;Prog1 ;B3;1ATP2; ZAYENE MARIEM 
13/11/2024;13:00:00;15:00:00;Syst1 ;C5;1ATP1; JACQUET FREDERIQUE 
06/11/2024;07:00:00;09:00:00;Com1 ;B7;1ATP2; GIRAUD NADINE 
19/11/2024;12:30:00;14:30:00;Prog1 ;C5;1ATP4; SIGURET ARNAUD 
17/10/2024;13:30:00;15:30:00;Syst1 ;C5;1ATP4; JACQUET FREDERIQUE 
29/11/2024;08:00:00;11:00:00;Archi-Rés1 ;B8;1ATP2; HERNANDEZ SEBASTIEN 
26/09/2024;13:30:00;15:30:00;Anglais1 ;A5;1ATDB; BEIGNON D AGOSTINO LAURE 
15/11/2024;08:00:00;11:00:00;Elec1 ;C1;1ATP4; CAPALLERA FLORENCE 
10/09/2024;06:00:00;07:00:00;Telecom1 ;A5-A5bis;1A; CAPALLERA FLORENCE 
05/11/2024;12:30:00;14:30:00;Com1 ;B7;1ATP3; GIRAUD NADINE 
22/11/2024;12:30:00;14:30:00;SAE1.05;C5;1ATP1; JACQUET FREDERIQUE 
07/11/2024;09:00:00;11:00:00;SAE1.02;B3;1ATDB; FREITAS ANTONIO 
02/10/2024;06:00:00;08:00:00;Archi-Sys1 ;A5bis;1ATDB; JACQUET JEAN-PAUL 
05/11/2024;12:30:00;14:30:00;Anglais1 ;B2;1ATP4; BEIGNON D AGOSTINO LAURE 
05/11/2024;16:30:00;18:30:00;Soutien math-telecom;B3;1ATDA;  
05/12/2024;12:30:00;14:30:00;Math-Trans1 ;A5bis;1ATDB;COURSIMAULT DAVID 
12/12/2024;09:00:00;11:00:00;Com1 ;B7;1ATP4; GIRAUD NADINE 
21/11/2024;12:30:00;14:30:00;SAE1.05;C1bis,B4;1ATDA;  
06/11/2024;12:00:00;15:00:00;Elec1 ;B1bis;1ATP2; CAPALLERA FLORENCE 
20/12/2024;08:00:00;11:00:00;SAE1.03;C1;1ATP2; CAPALLERA FLORENCE 
20/11/2024;14:30:00;16:30:00;Gest_projet ;B7;1ATDB; MAYET KARINE 
19/11/2024;14:30:00;16:30:00;Prog1 ;B8;1ATP2; ZAYENE MARIEM 
12/11/2024;14:30:00;16:30:00;SAE1.03;C5;1ATDA;COURSIMAULT DAVID 
26/09/2024;11:30:00;13:30:00;Anglais1 ;A5;1ATDA; BEIGNON D AGOSTINO LAURE 
04/12/2024;07:00:00;09:00:00;SAE1.04;B2;1ATP2; BEIGNON D AGOSTINO LAURE 
04/11/2024;08:30:00;09:30:00;Archi-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
16/10/2024;06:00:00;07:00:00;Soutien Télécoms;A5,B3;1ATP2; CAPALLERA FLORENCE 
18/12/2024;12:30:00;14:30:00;SAE1.04;B7;1ATP2; GIRAUD NADINE 
14/10/2024;13:30:00;15:30:00;Soutien math-telecom;C5;1ATDA;  
